lat,lng,date
38.2383333,-122.03916670000001,1/1/2003 0:15
32.7447222,-116.99805559999999,1/1/2003 0:25
43.313888899999995,-89.52638890000001,1/1/2003 0:30
37.3394444,-121.8938889,1/1/2003 12:00
29.763055600000005,-95.3630556,1/1/2003 13:00
37.775,-122.41833329999999,1/1/2003 15:00
26.203055600000003,-98.22972220000001,1/1/2003 1:15
35.89388889999999,-80.5616667,1/1/2003 1:30
35.4675,-97.51611109999999,1/1/2003 23:30
40.5583333,-85.6591667,1/1/2003 23:43
41.1366667,-95.8905556,1/1/2003 2:00
44.7527778,-68.67944440000001,1/1/2003 2:30
35.1427778,-120.64027779999999,1/1/2003 5:00
39.01694439999999,-94.28138890000001,1/1/2003 5:15
32.5838889,-117.1122222,1/1/2003 6:00
32.7252778,-114.6236111,1/1/2003 9:20
32.7447222,-116.99805559999999,1/1/2004 0:00
60.5544444,-151.2583333,1/1/2004 0:00
33.9172222,-118.01111110000001,1/1/2004 0:10
34.185,-83.92527779999999,1/1/2004 15:30
33.7488889,-84.3880556,1/1/2004 17:30
46.1383333,-122.93694440000002,1/1/2004 17:38
42.3583333,-71.0602778,1/1/2004 2:00
34.1722222,-118.37805559999998,1/1/2005 0:00
29.055,-82.0625,1/1/2005 0:02
36.175,-115.1363889,1/1/2005 0:05
33.8702778,-117.92444440000001,1/1/2005 0:15
34.000555600000006,-81.035,1/1/2005 13:45
27.947222200000002,-82.45861109999998,1/1/2005 17:30
40.6130556,-80.5630556,1/1/2005 19:00
41.85,-87.65,1/1/2005 1:45
37.9319444,-121.6947222,1/1/2005 1:49
32.4608333,-84.98777779999999,1/1/2005 21:00
33.4483333,-112.07333329999999,1/1/2005 23:00
46.9738889,-124.155,1/1/2005 3:00
37.775,-122.41833329999999,1/1/2006 0:06
35.084444399999995,-106.65055559999999,1/1/2006 17:00
34.083611100000006,-114.84888889999999,1/1/2006 22:30
34.2766667,-115.16944440000002,1/1/2006 22:30
38.5472222,-122.81527779999999,1/1/2007 0:00
39.158055600000004,-75.52472220000001,1/1/2007 0:00
38.5472222,-122.81527779999999,1/1/2007 0:01
38.5472222,-122.81527779999999,1/1/2007 0:01
34.0775,-117.6888889,1/1/2007 0:06
38.5472222,-122.81527779999999,1/1/2007 0:10
42.5277778,-92.4452778,1/1/2007 0:11
26.5625,-81.94972220000001,1/1/2007 0:20
38.935,-74.90638890000001,1/1/2007 13:00
40.6788889,-73.4175,1/1/2007 14:00
32.7152778,-117.1563889,1/1/2007 14:00
41.575,-87.2388889,1/1/2007 15:00
27.770555600000005,-82.67944440000001,1/1/2007 15:00
25.908333300000002,-80.30888890000001,1/1/2007 16:30
28.708888899999998,-100.4991667,1/1/2007 18:08
41.85,-87.65,1/1/2007 19:00
33.26694439999999,-93.2391667,1/1/2007 19:00
44.9430556,-123.0338889,1/1/2007 19:30
