lng,lat,date
-118.30805559999999,34.180833299999996,1/1/2003 0:05
-118.30805559999999,34.180833299999996,1/1/2003 0:05
-122.03916670000001,38.2383333,1/1/2003 0:15
-116.99805559999999,32.7447222,1/1/2003 0:25
-89.52638890000001,43.313888899999995,1/1/2003 0:30
-121.8938889,37.3394444,1/1/2003 12:00
-95.3630556,29.763055600000005,1/1/2003 13:00
-122.41833329999999,37.775,1/1/2003 15:00
-122.78333300000001,49.266667,1/1/2003 19:30
-98.22972220000001,26.203055600000003,1/1/2003 1:15
-80.5616667,35.89388889999999,1/1/2003 1:30
-97.51611109999999,35.4675,1/1/2003 23:30
-85.6591667,40.5583333,1/1/2003 23:43
-95.8905556,41.1366667,1/1/2003 2:00
-68.67944440000001,44.7527778,1/1/2003 2:30
-120.64027779999999,35.1427778,1/1/2003 5:00
-94.28138890000001,39.01694439999999,1/1/2003 5:15
-117.1122222,32.5838889,1/1/2003 6:00
-114.6236111,32.7252778,1/1/2003 9:20
-151.2583333,60.5544444,1/1/2004 0:00
-116.99805559999999,32.7447222,1/1/2004 0:00
-118.01111110000001,33.9172222,1/1/2004 0:10
-83.92527779999999,34.185,1/1/2004 15:30
-84.3880556,33.7488889,1/1/2004 17:30
-122.93694440000002,46.1383333,1/1/2004 17:38
-71.0602778,42.3583333,1/1/2004 2:00
-118.37805559999998,34.1722222,1/1/2005 0:00
-82.0625,29.055,1/1/2005 0:02
-115.1363889,36.175,1/1/2005 0:05
-117.92444440000001,33.8702778,1/1/2005 0:15
-81.035,34.000555600000006,1/1/2005 13:45
-82.45861109999998,27.947222200000002,1/1/2005 17:30
-80.5630556,40.6130556,1/1/2005 19:00
-87.65,41.85,1/1/2005 1:45
-121.6947222,37.9319444,1/1/2005 1:49
-84.98777779999999,32.4608333,1/1/2005 21:00
-112.07333329999999,33.4483333,1/1/2005 23:00
-124.155,46.9738889,1/1/2005 3:00
-122.41833329999999,37.775,1/1/2006 0:06
-106.65055559999999,35.084444399999995,1/1/2006 17:00
-114.84888889999999,34.083611100000006,1/1/2006 22:30
-115.16944440000002,34.2766667,1/1/2006 22:30
-122.766667,53.916667000000004,1/1/2006 23:00
-80.966667,46.5,1/1/2006 5:00
-75.52472220000001,39.158055600000004,1/1/2007 0:00
-122.81527779999999,38.5472222,1/1/2007 0:00
-122.81527779999999,38.5472222,1/1/2007 0:01
-122.81527779999999,38.5472222,1/1/2007 0:01
-117.6888889,34.0775,1/1/2007 0:06
-122.81527779999999,38.5472222,1/1/2007 0:10
